A_Coruna,0
Albacete,677
Alicante_Alacant,7
Almeria,0
Avila,1054
Badajoz,168
Barcelona,1
Bilbao_Bilbo,214
Burgos,861
Caceres,385
Cadiz,0
Castellon_Castello,18
Ceuta,0
Ciudad_Real,630
Cordoba,113
Cuenca,975
Girona,143
Granada,754
Guadalajara,708
Huelva,50
Huesca,432
Jaen,436
Las_Palmas_de_Gran_Canaria,114
Leon,346
Lleida,131
Logrono,379
Lugo,412
Madrid,589
Malaga,0
Melilla,130
Murcia,25
Ourense,327
Oviedo,214
Palencia,722
Palma_de_Mallorca,1
Pamplona_Iruna,456
Pontevedra,77
Salamanca,770
San_Sebastian,5
Santa_Cruz_de_Tenerife,0
Santander,1
Segovia,1013
Sevilla,9
Soria,984
Tarragona,1
Teruel,995
Toledo,445
Valencia,8
Valladolid,704
Vitoria_Gasteiz,512
Zamora,617
Zaragoza,207
